/Library/Java/JavaVirtualMachines/graalvm-ce-java11-20.3.0/Contents/Home
openjdk 11.0.9 2020-10-20
OpenJDK Runtime Environment GraalVM CE 20.3.0 (build 11.0.9+10-jvmci-20.3-b06)
OpenJDK 64-Bit Server VM GraalVM CE 20.3.0 (build 11.0.9+10-jvmci-20.3-b06, mixed mode, sharing)
Iteration	Counter 1	Counter 2	Counter 3	Counter 4	Counter 5	Counter 6	Counter 7	Counter 8	Counter 9	Counter 10	
1			50 ms		35 ms		37 ms		38 ms		39 ms		41 ms		42 ms		44 ms		297 ms		401 ms		
671			28 ms		170 ms		175 ms		175 ms		172 ms		175 ms		174 ms		177 ms		343 ms		337 ms		
681			28 ms		169 ms		172 ms		186 ms		172 ms		177 ms		178 ms		175 ms		347 ms		336 ms		
691			28 ms		176 ms		171 ms		173 ms		171 ms		176 ms		176 ms		172 ms		348 ms		338 ms		
701			28 ms		175 ms		174 ms		172 ms		171 ms		171 ms		174 ms		174 ms		346 ms		337 ms		
711			28 ms		174 ms		172 ms		168 ms		171 ms		174 ms		171 ms		174 ms		347 ms		337 ms		
721			28 ms		174 ms		173 ms		177 ms		175 ms		176 ms		177 ms		175 ms		347 ms		337 ms		
731			28 ms		173 ms		172 ms		174 ms		176 ms		177 ms		171 ms		176 ms		342 ms		337 ms		
741			28 ms		168 ms		173 ms		174 ms		171 ms		176 ms		176 ms		176 ms		341 ms		339 ms		
751			28 ms		171 ms		172 ms		173 ms		173 ms		175 ms		170 ms		175 ms		365 ms		341 ms		
761			28 ms		172 ms		172 ms		170 ms		175 ms		176 ms		172 ms		173 ms		342 ms		347 ms		
771			28 ms		171 ms		172 ms		173 ms		172 ms		175 ms		176 ms		174 ms		349 ms		342 ms		
781			28 ms		172 ms		172 ms		174 ms		171 ms		177 ms		170 ms		175 ms		350 ms		349 ms		
791			28 ms		168 ms		172 ms		168 ms		170 ms		176 ms		172 ms		172 ms		353 ms		348 ms		
801			28 ms		168 ms		173 ms		172 ms		171 ms		175 ms		175 ms		175 ms		354 ms		336 ms		
811			28 ms		173 ms		175 ms		172 ms		171 ms		177 ms		169 ms		173 ms		345 ms		338 ms		
821			28 ms		170 ms		173 ms		173 ms		171 ms		169 ms		172 ms		170 ms		348 ms		337 ms		
831			28 ms		171 ms		172 ms		171 ms		171 ms		171 ms		174 ms		171 ms		346 ms		335 ms		
841			28 ms		177 ms		175 ms		173 ms		170 ms		174 ms		175 ms		174 ms		347 ms		338 ms		
851			28 ms		176 ms		170 ms		172 ms		171 ms		176 ms		173 ms		175 ms		349 ms		345 ms		
861			28 ms		175 ms		170 ms		171 ms		173 ms		176 ms		177 ms		176 ms		347 ms		336 ms		
871			28 ms		171 ms		175 ms		173 ms		188 ms		175 ms		171 ms		174 ms		347 ms		341 ms		
881			28 ms		176 ms		169 ms		173 ms		173 ms		179 ms		175 ms		173 ms		346 ms		337 ms		
891			31 ms		177 ms		176 ms		173 ms		173 ms		176 ms		175 ms		178 ms		346 ms		337 ms		
901			28 ms		176 ms		173 ms		169 ms		173 ms		176 ms		176 ms		172 ms		347 ms		377 ms		
911			29 ms		176 ms		171 ms		173 ms		172 ms		176 ms		168 ms		169 ms		347 ms		349 ms		
921			28 ms		175 ms		174 ms		176 ms		172 ms		177 ms		177 ms		173 ms		348 ms		342 ms		
931			28 ms		172 ms		172 ms		174 ms		171 ms		174 ms		173 ms		174 ms		346 ms		337 ms		
941			28 ms		175 ms		171 ms		169 ms		174 ms		175 ms		177 ms		175 ms		347 ms		338 ms		
951			28 ms		175 ms		171 ms		169 ms		173 ms		175 ms		176 ms		178 ms		347 ms		342 ms		
961			28 ms		176 ms		173 ms		171 ms		172 ms		175 ms		176 ms		178 ms		342 ms		338 ms		
971			28 ms		175 ms		176 ms		171 ms		175 ms		175 ms		171 ms		175 ms		350 ms		338 ms		
981			28 ms		173 ms		178 ms		171 ms		172 ms		176 ms		172 ms		176 ms		347 ms		344 ms		
991			28 ms		174 ms		172 ms		173 ms		170 ms		175 ms		171 ms		175 ms		345 ms		341 ms		
1001			28 ms		174 ms		173 ms		173 ms		177 ms		174 ms		172 ms		177 ms		345 ms		339 ms		
